Rickshaw Carry                                        | Compound  | Forearms    | Other         | Strongman             | Beginner     | 9.6 | Dumbbell farmer's walk                        | -                                                     | -                                                   | -                                       | -                             | -                        | -                        | -                   | -                     | Position the frame at the starting point, and load with the appropriate weight. Standing in the center of the frame, begin by gripping the handles and driving through your heels to lift the frame. Ensure your chest and head are up and your back is straight.\n Immediately begin walking briskly with quick, controlled steps. Keep your chest up and head forward, and make sure you continue breathing. Bring the frame to the ground after you have reached the end point.\n
Kettlebell Dead Clean                                 | Isolation | Hamstrings  | Kettlebells   | Strength              | Beginner     | 5.3 | -                                             | -                                                     | -                                                   | -                                       | -                             | -                        | -                        | -                   | -                     | Place kettlebell between your feet. To get in the starting position, push your butt back and look straight ahead.\n Clean the kettlebell to your shoulder. Clean the kettlebell to your shoulders by extending through the legs and hips as you raise the kettlebell towards your shoulder. The wrist should rotate as you do so.\n Lower the kettlebell, keeping the hamstrings loaded by keeping your back straight and your butt out.\n
Partner farmer's walk                                 | Compound  | Forearms    | Dumbbell      | Strength              | Beginner     | 5.3 | -                                             | -                                                     | -                                                   | -                                       | -                             | -                        | -                        | -                   | -                     | Place two dumbbells on the floor in front of you, making sure you have enough open space to walk. If you can’t reach the floor safely without rounding your back, elevate the weights off the floor. (When doing this as a competition, start side by side with your partner and make sure there’s enough room for both of you.)\n Squat down keeping your back flat—don’t bend over—and grasp the weights with a neutral grip. Stand back up by extending at the hips and knees; this will be your starting position.\n Keeping the weights at your sides, walk forward as far as you can; if necessary turn around and return the other way. Try to beat your partner for both distance and time.\n Descend into a squat to lower the weights back to the floor.\n
Seated Hamstring                                      | Compound  | Hamstrings  | None          | Stretching            | Beginner     | 5.3 | -                                             | -                                                     | -                                                   | -                                       | -                             | -                        | -                        | -                   | -                     | In a seated position with your legs extended, have your partner stand behind you. Now, lean forward as your partner braces your shoulders with their hands. This will be your starting position.\n Attempt to push your torso back for 10-20 seconds, as your partner prevents any actual movement of your torso.\n Now relax your muscles as your partner increases the stretch by gently pushing your torso forward for 10-20 seconds.\n
Bar shoulder extension stretch                        | Isolation | Shoulders   | Other         | Stretching            | Beginner     | 5.3 | -                                             | -                                                     | -                                                   | -                                       | -                             | -                        | -                        | -                   | -                     | Stand up straight with your legs together, holding a bodybar or broomstick.\n Hold the pole behind your hips with a wider than shoulder width grip. Your palms should be down and your thumbs facing out.\n Slowly lift your arms up behind your head. Don't force it if it gets hard to lift further.\n
Kneeling Forearm Stretch                              | Isolation | Forearms    | None          | Stretching            | Beginner     | 5.2 | -                                             | -                                                     | -                                                   | -                                       | -                             | -                        | -                        | -                   | -                     | Start by kneeling on a mat with your palms flat and your fingers pointing back toward your knees.\n Slowly lean back keeping your palms flat on the floor until you feel a stretch in your wrists and forearms. Hold for 20-30 seconds.\n
Iron Crosses (stretch)                                | Isolation | Quadriceps  | Body Only     | Stretching            | Intermediate | 5.2 | -                                             | -                                                     | -                                                   | -                                       | -                             | -                        | -                        | -                   | -                     | Lie face down on the floor, with your arms extended out to your side, palms pressed to the floor. This will be your starting position.\n To begin, flex one knee and bring that leg across the back of your body, attempting to touch it to the ground near the opposite hand.\n Promptly return the leg to the starting postion, and quickly repeat with the other leg. Continue alternating for 10-20 repetitions.\n
Seated Floor Hamstring Stretch                        | Compound  | Hamstrings  | Unknown       | Stretching            | Intermediate | 5.1 | -                                             | -                                                     | -                                                   | -                                       | -                             | -                        | -                        | -                   | -                     | Sit on a mat with your right leg extended in front of you and your left leg bent with your foot against your right inner thigh.\n Lean forward from your hips and reach for your ankle until you feel a stretch in your hamstring. Hold for 15 seconds, then repeat for your other side.\n
Arm circle                                            | Compound  | Shoulders   | Body Only     | Stretching            | Intermediate | 5.1 | Back Flyes - With Bands                       | Cable Internal Rotation                               | -                                                   | -                                       | -                             | -                        | -                        | -                   | -                     | Stand up and extend your arms straight out by the sides. The arms should be parallel to the floor and perpendicular (90-degree angle) to your torso. This will be your starting position.\n Slowly start to make circles of about 1 foot in diameter with each outstretched arm. Breathe normally as you perform the movement.\n Continue the circular motion of the outstretched arms for about ten seconds. Then reverse the movement, going the opposite direction.\n\nTip: Ten second movements equal one set and each circle equals one repetition.\n
Pelvic Tilt Into Bridge                               | Isolation | Lower Back  | Body Only     | Stretching            | Intermediate | 5.1 | -                                             | -                                                     | -                                                   | -                                       | -                             | -                        | -                        | -                   | -                     | Lie down with your feet on the floor, heels directly under your knees.\n Lift only your tailbone to the ceiling to stretch your lower back. (Don't lift the entire spine yet.) Pull in your stomach.\n To go into a bridge, lift the entire spine except the neck.\n
Seated Biceps                                         | Compound  | Biceps      | Body Only     | Stretching            | Beginner     | 5   | -                                             | -                                                     | -                                                   | -                                       | -                             | -                        | -                        | -                   | -                     | Sit on the floor with your knees bent and your partner standing behind you. Extend your arms straight behind you with your palms facing each other. Your partner will hold your wrists for you. This will be the starting position.\n Attempt to flex your elbows, while your partner prevents any actual movement.\n After 10-20 seconds, relax your arms while your partner gently pulls your wrists up to stretch your biceps. Be sure to let your partner know when the stretch is appropriate to prevent injury or overstretching.\n
90/90 Hamstring                                       | Compound  | Hamstrings  | Body Only     | Stretching            | Beginner     | 5   | -                                             | -                                                     | -                                                   | -                                       | -                             | -                        | -                        | -                   | -                     | Lie on your back, with one leg extended straight out.\n With the other leg, bend the hip and knee to 90 degrees. You may brace your leg with your hands if necessary. This will be your starting position.\n Extend your leg straight into the air, pausing briefly at the top. Return the leg to the starting position.\n Repeat for 10-20 repetitions, and then switch to the other leg.\n
All Fours Quad Stretch                                | Compound  | Quadriceps  | Body Only     | Stretching            | Beginner     | 5   | -                                             | -                                                     | -                                                   | -                                       | -                             | -                        | -                        | -                   | -                     | Start off on your hands and knees, then lift your leg off the floor and hold the foot with your hand.\n Use your hand to hold the foot or ankle, keeping the knee fully flexed, stretching the quadriceps and hip flexors.\n Focus on extending your hips, thrusting them towards the floor. Hold for 10-20 seconds and then switch sides.\n
Cable Judo Flip                                       | Compound  | Abdominals  | Cable         | Strength              | Beginner     | 5   | -                                             | -                                                     | -                                                   | -                                       | -                             | -                        | -                        | -                   | -                     | Connect a rope attachment to a tower, and move the cable to the lowest pulley position. Stand with your side to the cable with a wide stance, and grab the rope with both hands.\n Twist your body away from the pulley as you bring the rope over your shoulder like you’re performing a judo flip.\n Shift your weight between your feet as you twist and crunch forward, pulling the cable downward.\n Return to the starting position and repeat until failure.\n Then, reposition and repeat the same series of movements on the opposite side.\n\nTip: Although this should be one continuous movement, think of it as two separate ab movements: the twist for obliques and the crunch for abs. This will help with the mind-muscle connection. Also, over exaggerate the end of the crunch by pausing for a moment and clinching your abs in an isometric hold before releasing.
Exercise ball torso rotation                          | Isolation | Abdominals  | Body Only     | Stretching            | Intermediate | 5   | -                                             | -                                                     | -                                                   | -                                       | -                             | -                        | -                        | -                   | -                     | Stand upright holding an exercise ball with both hands. Extend your arms so the ball is straight out in front of you. This will be your starting position.\n Rotate your torso to one side, keeping your eyes on the ball as you move. Now, rotate back to the opposite direction. Repeat for 10-20 repetitions.\n
Lying quad stretch with band                          | Compound  | Quadriceps  | Body Only     | Stretching            | Intermediate | 4.9 | -                                             | -                                                     | -                                                   | -                                       | -                             | -                        | -                        | -                   | -                     | Lay on your side. Loop a belt, rope, or band around your top foot. Flex the knee and extend your hip, attempting to touch your glutes with your foot, and holding the belt with your hands. This will be your starting position.\n With the belt being held over the shoulder or overhead, gently pull to increase the stretch in the quadriceps. Hold for 10-20 seconds, and then switch sides.\n
Cat Stretch                                           | Compound  | Lower Back  | None          | Stretching            | Beginner     | 4.9 | -                                             | -                                                     | -                                                   | -                                       | -                             | -                        | -                        | -                   | -                     | Position yourself on the floor on your hands and knees.\n Pull your belly in and round your spine, lower back, shoulders, and neck, letting your head drop.\n Hold for 15 seconds.\n
Calf Stretch Elbows Against Wall                      | Isolation | Calves      | None          | Stretching            | Beginner     | 4.9 | -                                             | -                                                     | -                                                   | -                                       | -                             | -                        | -                        | -                   | -                     | Stand facing a wall from a couple feet away.\n Lean against the wall, placing your weight on your forearms.\n Attempt to keep your heels on the ground. Hold for 10-20 seconds. You may move further or closer the wall, making it more or less difficult, respectively.\n
Behind Head Chest Stretch                             | Compound  | Chest       | Other         | Stretching            | Beginner     | 4.9 | -                                             | -                                                     | -                                                   | -                                       | -                             | -                        | -                        | -                   | -                     | Sit on the floor with your legs comfortably in front of you. Your chest should be up and your back straight. Put your hands on the back of your head and interlace your fingers. This will be your starting position\n Have your partner stand behind you and put his/her hands on the inside of your elbows. Allow them to pull back on your elbows until you feel a stretch in your chest and front delts. Hold for 10 seconds.\n After 10 seconds, try to bring your elbows in against your partner's resistance. Hold that contraction for 6 seconds.\n Now, relax your muscles and have your partner gently pull the elbows back as far as it comfortable for you for 30 seconds. (If you want, try contracting your upper back for greater ROM gains.)\n
Alternating Hang Clean                                | Compound  | Hamstrings  | Kettlebells   | Strength              | Beginner     | 4.9 | -                                             | -                                                     | -                                                   | -                                       | -                             | -                        | -                        | -                   | -                     | Place two kettlebells between your feet. To get in the starting position, push your butt back and look straight ahead.\n Clean one kettlebell to your shoulder and hold on to the other kettlebell in a hanging position. Clean the kettlebell to your shoulder by extending through the legs and hips as you pull the kettlebell towards your shoulders. Rotate your wrist as you do so.\n Lower the cleaned kettlebell to a hanging position and clean the alternate kettlebell. Repeat.\n
Calf Raises - With Bands                              | Compound  | Calves      | Bands         | Strength              | Beginner     | 4.8 | Calf Press On The Leg Press Machine           | Standing barbell calf raise                           | Standing Dumbbell Calf Raise                        | n/a                                     | Not Yet Rated                 | Calf Raise On A Dumbbell | -                        | -                   | -                     | Grab an exercise band and stand on it with your toes making sure that the length of the band between the foot and the arms is the same for both sides.\n While holding the handles of the band, raise the arms to the side of your head as if you were getting ready to perform a shoulder press. The palms should be facing forward with the elbows bent and to the sides. This movement will create tension on the band. This will be your starting position.\n Keeping the hands by your shoulder, stand up on your toes as you exhale and contract the calves hard at the top of the movement.\n After a one second contraction, slowly go back down to the starting position.\n Repeat for the recommended amount of repetitions.\n
Calf Raise On A Dumbbell                              | Isolation | Calves      | Dumbbell      | Strength              | Beginner     | 4.8 | Standing Calf Raises                          | Calf Press On The Leg Press Machine                   | Standing Dumbbell Calf Raise                        | n/a                                     | Not Yet Rated                 | Calf Raises - With Bands | -                        | -                   | -                     | Hang on to a sturdy object for balance and stand on a dumbbell handle, preferably one with round plates so that it rolls as in this manner you have to work harder to stabilize yourself; thus increasing the effectiveness of the exercise.\n Now roll your foot slightly forward so that you can get a nice stretch of the calf. This will be your starting position.\n Lift the calf as you roll your foot over the top of the handle so that you get a full extension. Exhale during the execution of this movement. Contract the calf hard at the top and hold for a second. Tip: As you come up, roll the dumbbell slightly backward.\n Now inhale as you roll the dumbbell slightly forward as you come down to get a better stretch.\n Repeat for the recommended amount of repetitions.\n
Lying glute stretch                                   | Compound  | Glutes      | Body Only     | Stretching            | Intermediate | 4.8 | -                                             | -                                                     | -                                                   | -                                       | -                             | -                        | -                        | -                   | -                     | From a lying position, bend your knees and keep your feet on the floor.\n Place your ankle of one foot on your opposite knee.\n Grasp the thigh or knee of the bottom leg and pull both of your legs into the chest. Relax your neck and shoulders. Hold for 10-20 seconds and then switch sides.\n
Triceps Stretch                                       | Compound  | Triceps     | Body Only     | Stretching            | Intermediate | 4.8 | -                                             | -                                                     | -                                                   | -                                       | -                             | -                        | -                        | -                   | -                     | Reach your hand behind your head, grasp your elbow and gently pull. Hold for 10 to 20 seconds, then switch sides.\n
Side Neck Stretch                                     | Isolation | Neck        | Body Only     | Stretching            | Intermediate | 4.8 | -                                             | -                                                     | -                                                   | -                                       | -                             | -                        | -                        | -                   | -                     | Start with your shoulders relaxed, gently tilt your head towards your shoulder.\n Assist stretch with a gentle pull on the side of the head.\n
Elbows Back                                           | Compound  | Chest       | None          | Stretching            | Beginner     | 4.8 | -                                             | -                                                     | -                                                   | -                                       | -                             | -                        | -                        | -                   | -                     | Stand up straight.\n Place both hands on your lower back, fingers pointing downward and elbows out.\n Then gently pull your elbows back aiming to touch them together.\n
Dynamic Back Stretch                                  | Isolation | Lats        | None          | Stretching            | Beginner     | 4.8 | -                                             | -                                                     | -                                                   | -                                       | -                             | -                        | -                        | -                   | -                     | Stand with your feet shoulder width apart. This will be your starting position.\n Keeping your arms straight, swing them straight up in front of you 5-10 times, increasing the range of motion each time until your arms are above your head.\n
Seated bar twist                                      | Compound  | Abdominals  | Barbell       | Strength              | Intermediate | 4.7 | -                                             | -                                                     | -                                                   | -                                       | -                             | -                        | -                        | -                   | -                     | Start out by sitting at the end of a flat bench with a barbell placed on top of your thighs. Your feet should be shoulder width apart from each other.\n Grip the bar with your palms facing down and make sure your hands are wider than shoulder width apart from each other. Begin to lift the barbell up over your head until your arms are fully extended.\n Now lower the barbell behind your head until it is resting along the base of your neck. This is the starting position.\n While keeping your feet and head stationary, move your waist from side to side so that your oblique muscles feel the contraction. Only move from side to side as far as your waist will allow you to go. Stretching or moving too far can cause an injury to occur. Tip: Use a slow and controlled motion.\n Remember to breathe out while twisting your body to the side and in when moving back to the starting position.\n Repeat for the recommended amount of repetitions.\n
One Half Locust                                       | Compound  | Quadriceps  | Body Only     | Stretching            | Intermediate | 4.7 | -                                             | -                                                     | -                                                   | -                                       | -                             | -                        | -                        | -                   | -                     | Lie facedown on the floor.\n Put your left hand under your left hipbone to pad your hip and pubic bone.\n Bend your right knee so you can hold the foot in your right hand.\n Lift the foot in the air and simultaneously lift your shoulders off the floor. This also stretches the right hip flexor and the chest and shoulders. Switch sides. If it doesn't bother your back, you can try it with both arms and legs at the same time.\n
Latissimus dorsi SMR                                  | Compound  | Lats        | Foam Roll     | Stretching            | Intermediate | 4.7 | -                                             | -                                                     | -                                                   | -                                       | -                             | -                        | -                        | -                   | -                     | While lying on the floor, place a foam roll under your back and to one side, just behind your arm pit. This will be your starting position.\n Keep the arm of the side being stretched behind and to the side of you as you shift your weight onto your lats, keeping your upper body off of the ground. Hold for 10-30 seconds, and switch sides.\n
Seated Overhead Stretch                               | Isolation | Abdominals  | Body Only     | Stretching            | Intermediate | 4.7 | -                                             | -                                                     | -                                                   | -                                       | -                             | -                        | -                        | -                   | -                     | Sit up straight on an exercise mat.\n Touch the soles of your feet together with your feet six to eight inches in front of your hips.\n Place one hand on the floor beside you and your other hand behind your head.\n Lift your elbow to the ceiling as you incline your torso to the other side. Hold for 10 to 20 seconds, then switch sides.\n
Seated Front Deltoid                                  | Isolation | Shoulders   | Body Only     | Stretching            | Beginner     | 4.5 | -                                             | -                                                     | -                                                   | -                                       | -                             | -                        | -                        | -                   | -                     | Sit upright on the floor with your legs bent, your partner standing behind you. Stick your arms straight out to your sides, with your palms facing the ground. Attempt to move them as far behind you as possible, as your assistant holds your wrists. This will be your starting position.\n Keeping your elbows straight, attempt to move your arms to the front, with your partner gently restraining you to prevent any actual movement for 10-20 seconds.\n Now, relax your muscles and allow your partner to gently increase the stretch on the shoulders and chest. Hold for 10 to 20 seconds.\n
Lower back SMR                                        | Compound  | Lower Back  | Foam Roll     | Stretching            | Intermediate | 4.5 | -                                             | -                                                     | -                                                   | -                                       | -                             | -                        | -                        | -                   | -                     | In a seated position, place a foam roll under your lower back. Cross your arms in front of you and protract your shoulders. This will be your starting position.\n Raise your hips off of the floor and lean back, keeping your weight on your lower back. Now shift your weight slightly to one side, keeping your weight off of the spine and on the muscles to the side of it. Roll over your lower back, holding points of tension for 10-30 seconds. Repeat on the other side.\n
Hug Knees To Chest                                    | Isolation | Lower Back  | Body Only     | Stretching            | Intermediate | 4.4 | -                                             | -                                                     | -                                                   | -                                       | -                             | -                        | -                        | -                   | -                     | Lie down on your back and pull both knees up to your chest.\n Hold your arms under the knees, not over (that would put to much pressure on your knee joints).\n Slowly pull the knees toward your shoulders. This also stretches your buttocks muscles.\n
World's greatest stretch                              | Compound  | Hamstrings  | Body Only     | Stretching            | Intermediate | 4.4 | -                                             | -                                                     | -                                                   | -                                       | -                             | -                        | -                        | -                   | -                     | This is a three-part stretch. Begin by lunging forward, with your front foot flat on the ground and on the toes of your back foot. With your knees bent, squat down until your knee is almost touching the ground. Keep your torso erect, and hold this position for 10-20 seconds.\n Now, place the arm on the same side as your front leg on the ground, with the elbow next to the foot. Your other hand should be placed on the ground, parallel to your lead leg, to help support you during this portion of the stretch.\n After 10-20 seconds, place your hands on either side of your front foot. Raise the toes of the front foot off of the ground, and straighten your leg. You may need to reposition your rear leg to do so. Hold for 10-20 seconds, and then repeat the entire sequence for the other side.\n
Standing Hip Flexors                                  | Compound  | Quadriceps  | Body Only     | Stretching            | Intermediate | 4.4 | -                                             | -                                                     | -                                                   | -                                       | -                             | -                        | -                        | -                   | -                     | Stand up straight with the spine vertical, the left foot slightly in front of the right.\n Bend both knees and lift the back heel off the floor as you press the right hip forward. You can't get a thorough, deep stretch in this position, however, because it's hard to relax the hip flexor and stand on it at the same time. Switch sides.\n
The Straddle                                          | Compound  | Hamstrings  | Body Only     | Stretching            | Intermediate | 4.3 | -                                             | -                                                     | -                                                   | -                                       | -                             | -                        | -                        | -                   | -                     | Begin in a seated, upright position. Start by extending your legs in front of you in a V.\n With your hands on the floor, lean forward as far as possible. Hold for 10 to 20 seconds.\n
Looking At Ceiling                                    | Compound  | Quadriceps  | Body Only     | Stretching            | Intermediate | 4.3 | -                                             | -                                                     | -                                                   | -                                       | -                             | -                        | -                        | -                   | -                     | Kneel on the floor, holding your heels with both hands.\n Lift your buttocks up and forward while bringing your head back to look up at the ceiling, to give an arch in your back.\n
Standing Soleus And Achilles Stretch                  | Isolation | Calves      | None          | Stretching            | Beginner     | 4.2 | -                                             | -                                                     | -                                                   | -                                       | -                             | -                        | -                        | -                   | -                     | Stand with your feet hip-distance apart, one foot slightly in front of the other.\n Bend both knees, keeping your back heel on the floor. Switch sides.\n
Upper Back Stretch                                    | Compound  | Middle Back | Body Only     | Stretching            | Intermediate | 4.2 | -                                             | -                                                     | -                                                   | -                                       | -                             | -                        | -                        | -                   | -                     | Clasp fingers together with your thumbs pointing down, round your shoulders as you reach your hands forward.\n
Alternating lunge jump                                | Compound  | Hamstrings  | None          | Stretching            | Beginner     | 4.2 | -                                             | -                                                     | -                                                   | -                                       | -                             | -                        | -                        | -                   | -                     | Being in a standing position. Jump into a split leg position, with one leg forward and one leg back, flexing the knees and lowering your hips slightly as you do so.\n As you descend, immediately reverse direction, standing back up and jumping, reversing the position of your legs. Repeat 5-10 times on each leg.\n
Chair Upper Body Stretch                              | Compound  | Shoulders   | Other         | Stretching            | Beginner     | 4.1 | -                                             | -                                                     | -                                                   | -                                       | -                             | -                        | -                        | -                   | -                     | Sit on the edge of a chair, gripping the back of it.\n Straighten your arms, keeping your back straight, and pull your upper body forward so you feel a stretch. Hold for 20-30 seconds.\n
Seated Calf Stretch                                   | Isolation | Calves      | Body Only     | Stretching            | Intermediate | 4.1 | -                                             | -                                                     | -                                                   | -                                       | -                             | -                        | -                        | -                   | -                     | Sit up straight on an exercise mat.\n Bend one knee and put that foot on the floor to stabilize the torso.\n Straighten your other leg and flex your ankle.\n Using a band, towel, or your hand if you can reach, pull the toes toward you. Hold for 10 to 20 seconds, then switch sides.\n
Shoulder Raise                                        | Compound  | Shoulders   | Body Only     | Stretching            | Intermediate | 4.1 | -                                             | -                                                     | -                                                   | -                                       | -                             | -                        | -                        | -                   | -                     | Relax your arms to your sides and raise your shoulders up toward your ears, then back down.\n
Downward Facing Balance                               | Compound  | Glutes      | Exercise Ball | Strength              | Beginner     | 4   | -                                             | -                                                     | -                                                   | -                                       | -                             | -                        | -                        | -                   | -                     | Lie facedown on top of an exercise ball.\n While resting on your stomach on the ball, walk your hands forward along the floor and lift your legs, extending your elbows and knees.\n
Kneeling Arm Drill                                    | Compound  | Shoulders   | None          | Plyometrics           | Beginner     | 4   | -                                             | -                                                     | -                                                   | -                                       | -                             | -                        | -                        | -                   | -                     | This drill helps increase arm efficiency during the run. Begin kneeling, left foot in front, right knee down. Apply pressure through the front heel to keep your glutes and hamstrings activated.\n Begin by blocking the arms in long, pendulum like swings. Close the arm angle, blocking with the arms as you would when jogging, progressing to a run and finally a sprint.\n As soon as your hands pass the hip, accelerate them forward during the sprinting motion to move them as quickly as possible.\n Switch knees and repeat.\n
Adductor SMR                                          | Compound  | Adductors   | Foam Roll     | Stretching            | Beginner     | 4   | -                                             | -                                                     | -                                                   | -                                       | -                             | -                        | -                        | -                   | -                     | Lie face down with one leg on a foam roll.\n Rotate the leg so that the foam roll contacts against your inner thigh. Shift as much weight onto the foam roll as can be tolerated.\n While trying to relax the muscles if the inner thigh, roll over the foam between your hip and knee, holding points of tension for 10-30 seconds. Repeat with the other leg.\n
Crossover Reverse Lunge                               | Compound  | Lower Back  | None          | Stretching            | Beginner     | 3.9 | -                                             | -                                                     | -                                                   | -                                       | -                             | -                        | -                        | -                   | -                     | Stand with your feet shoulder width apart. This will be your starting position.\n Perform a rear lunge by stepping back with one foot and flexing the hips and front knee. As you do so, rotate your torso across the front leg.\n After a brief pause, return to the starting position and repeat on the other side, continuing in an alternating fashion.\n
Overhead Stretch                                      | Compound  | Abdominals  | Body Only     | Stretching            | Intermediate | 3.9 | -                                             | -                                                     | -                                                   | -                                       | -                             | -                        | -                        | -                   | -                     | Standing straight up, lace your fingers together and open your palms to the ceiling. Keep your shoulders down as you extend your arms up.\n To create a full torso stretch, pull your tailbone down and stabilize your torso as you do this. Stretch the muscles on both the front and the back of the torso.\n
Frog Hops                                             | Compound  | Quadriceps  | None          | Stretching            | Beginner     | 3.9 | -                                             | -                                                     | -                                                   | -                                       | -                             | -                        | -                        | -                   | -                     | Stand with your hands behind your head, and squat down keeping your torso upright and your head up. This will be your starting position.\n Jump forward several feet, avoiding jumping unnecessarily high. As your feet contact the ground, absorb the impact through your legs, and jump again. Repeat this action 5-10 times.\n
Side Lying Groin Stretch                              | Compound  | Adductors   | Body Only     | Stretching            | Intermediate | 3.8 | -                                             | -                                                     | -                                                   | -                                       | -                             | -                        | -                        | -                   | -                     | Start off by lying on your right side and bend your right knee in front of you to stabilize the torso.\n Rest your head on your right hand or shoulder. Lift your left leg upward and hold it by the back of the knee (easier) or the foot (harder).\n Pull your left knee in toward your left shoulder and simultaneously press your foot or knee down to the floor. To intensify this stretch, straighten your left leg. Switch sides.\n
Chin To Chest Stretch                                 | Compound  | Neck        | Unknown       | Stretching            | Intermediate | 3.8 | -                                             | -                                                     | -                                                   | -                                       | -                             | -                        | -                        | -                   | -                     | Get into a seated position on the floor.\n Place both hands at the rear of your head, fingers interlocked, thumbs pointing down and elbows pointing straight ahead. Slowly pull your head down to your chest. Hold for 20-30 seconds.\n
Middle Back Stretch                                   | Isolation | Middle Back | Body Only     | Stretching            | Intermediate | 3.8 | -                                             | -                                                     | -                                                   | -                                       | -                             | -                        | -                        | -                   | -                     | Stand so your feet are shoulder width apart and your hands are on your hips.\n Twist at your waist until you feel a stretch. Hold for 10 to 15 seconds, then twist to the other side.\n
Runner's Stretch                                      | Isolation | Hamstrings  | None          | Stretching            | Intermediate | 3.6 | -                                             | -                                                     | -                                                   | -                                       | -                             | -                        | -                        | -                   | -                     | It's easiest to get into this stretch if you start standing up, put one leg behind you, and slowly lower your torso down to the floor.\n Keep the front heel on the floor (if it lifts up, scoot your other leg further back).\n Place your hands on either side of your front leg. To get more out of this stretch, push your butt up toward the ceiling, and then gradually lower it back toward the floor. You'll Stretch the hip flexor of the back leg and the hamstring and buttocks of the front.\n
